school_name,roster_size
ICSA Selectors,0
American University,16
Catholic University of America,2
Christopher Newport University,20
Colgate University,7
Columbia University,30
Cornell University,32
Drexel University,25
Fordham University,31
George Washington University,36
Georgetown University,45
Hamilton College,21
Hampton University,14
Hobart and William Smith Colleges,41
Indiana University of Pennsylvania,7
Loyola University Maryland,12
Mercyhurst University,0
Monmouth University,7
Ocean County College,7
Old Dominion University,30
Penn State Behrend,0
Penn State University,27
Princeton University,37
Queen's University,16
Rochester Institute of Technology,15
Rutgers University,22
St. John's College,6
St. Mary's College of Maryland,24
Stevens Institute of Technology,17
SUNY Maritime College,56
SUNY Stony Brook,22
Syracuse University,17
U. S. Merchant Marine Academy,34
U. S. Military Academy,29
U. S. Naval Academy,125
University of Buffalo,10
University of Delaware,36
University of Maryland,21
University of Maryland/Baltimore County,7
University of Pennsylvania,26
University of Pittsburgh,11
University of Rochester,12
University of Toronto,11
University of Virginia,30
Virginia Tech,28
Washington College,20
Webb Institute,22
William and Mary,45
Case Western Reserve University,0
Cleveland State University,0
Denison University,9
Grand Valley State University,11
Hillsdale College,11
Hope College,13
Indiana University,6
Iowa State University,16
John Carroll University,0
Lake Forest College,7
Marquette University,52
Miami University,24
Michigan State University,10
Michigan Technological University,1
Northern Michigan University,1
Northwestern University,57
Ohio State University,42
Ohio University,1
Purdue University,20
Saginaw Valley State University,0
Saint Mary's College,0
University of Chicago,12
University of Cincinnati,0
University of Illinois,17
University of Iowa,19
University of Michigan,39
University of Minnesota,22
University of Nebraska Lincoln,0
University of Notre Dame,27
University of Saint Thomas,0
University of Toledo,21
University of Wisconsin,66
Washington University,1
Western Michigan University,20
Amherst College,18
Bates College,20
Bentley University,8
Boston College,27
Boston University,37
Bowdoin College,30
Brown University,39
Connecticut College,30
Dartmouth College,24
Fairfield University,21
Harvard University,43
Maine Maritime Academy,15
Massachusetts Institute of Technology,39
Massachusetts Maritime Academy,26
McGill University,24
Middlebury College,27
Northeastern University,35
Olin College of Engineering,0
Roger Williams University,41
Sacred Heart University,9
Salve Regina University,24
Tufts University,53
U. S. Coast Guard Academy,50
University of Connecticut,35
University of Maine,0
University of Massachusetts at Amherst,47
University of Massachusetts at Dartmouth,7
University of New Hampshire,36
University of Rhode Island,49
University of Vermont,42
Wentworth Institute of Technology,11
Wesleyan University,9
Williams College,9
Worcester Polytechnic Institute,11
Yale University,32
Oregon State University,13
Portland State University,0
University of British Columbia,42
University of Oregon,10
University of Victoria,28
University of Washington,23
Western Washington University,25
Arizona State University,8
Cal Poly University S.L.O.,55
California Maritime Academy,17
California State University Channel Islands,9
San Diego State University,17
Santa Clara University,21
Stanford University,26
University of California at Berkeley,35
University of California at Davis,21
University of California at Irvine,12
University of California at Los Angeles,40
University of California at San Diego,53
University of California at Santa Barbara,44
University of California at Santa Cruz,20
University of Hawaii,24
University of Southern California,25
Auburn University,13
Clemson University,31
College of Charleston,55
College of Coastal Georgia,0
Davidson College,2
Duke University,8
East Carolina University,0
Eckerd College,33
Embry-Riddle University,6
Florida Gulf Coast University,0
Florida Institute of Technology,0
Florida State University,17
Furman University,0
Georgia Institute of Technology,21
Georgia Southern University,0
Jacksonville University,28
New College of Florida,0
North Carolina State University,40
Palm Beach Atlantic University,0
Rollins College,18
Sewanee University of the South,0
The Citadel,0
University of Central Florida,0
University of Florida,23
University of Georgia,9
University of Miami,18
University of North Carolina,7
University of North Carolina at Wilmington,13
University of South Carolina,12
University of South Florida,39
University of Tennessee,9
Vanderbilt University,20
Wake Forest University,4
Baylor University,0
Loyola University New Orleans,15
Rice University,2
Texas A&M University,30
Texas A&M University at Corpus Christi,4
Texas A&M University at Galveston,30
Texas Christian University,0
Tulane University,46
University of Central Oklahoma,7
University of Kansas,1
University of North Texas,14
University of Oklahoma,0
University of South Alabama,0
University of Texas,24
