school_name,roster_size
ICSA Selectors,5
American University,15
Catholic University of America,7
Christopher Newport University,18
Colgate University,3
Columbia University,11
Cornell University,29
Drexel University,25
Fordham University,25
George Washington University,26
Georgetown University,44
Hamilton College,11
Hampton University,7
Hobart and William Smith Colleges,29
Indiana University of Pennsylvania,7
Loyola University Maryland,10
Mercyhurst University,0
Monmouth University,13
Ocean County College,4
Old Dominion University,22
Penn State Behrend,10
Penn State University,11
Princeton University,33
Queen's University,1
Rochester Institute of Technology,22
Rutgers University,14
St. John's College,11
St. Mary's College of Maryland,28
Stevens Institute of Technology,7
SUNY Maritime College,25
SUNY Stony Brook,21
Syracuse University,33
U. S. Merchant Marine Academy,40
U. S. Military Academy,22
U. S. Naval Academy,47
University of Buffalo,0
University of Delaware,32
University of Maryland,22
University of Maryland/Baltimore County,3
University of Pennsylvania,25
University of Pittsburgh,12
University of Rochester,15
University of Toronto,
University of Virginia,32
Virginia Tech,19
Washington College,17
Webb Institute,23
William and Mary,24
Case Western Reserve University,0
Cleveland State University,5
Denison University,
Grand Valley State University,7
Hillsdale College,5
Hope College,16
Indiana University,25
Iowa State University,0
John Carroll University,0
Lake Forest College,7
Marquette University,34
Miami University,29
Michigan State University,24
Michigan Technological University,8
Northern Michigan University,5
Northwestern University,42
Ohio State University,15
Ohio University,8
Purdue University,29
Saginaw Valley State University,7
Saint Mary's College,7
University of Chicago,12
University of Cincinnati,10
University of Illinois,14
University of Iowa,11
University of Michigan,38
University of Minnesota,5
University of Nebraska Lincoln,1
University of Notre Dame,18
University of Saint Thomas,12
University of Toledo,9
University of Wisconsin,43
Washington University,17
Western Michigan University,15
Amherst College,13
Bates College,29
Bentley University,12
Boston College,31
Boston University,35
Bowdoin College,37
Brown University,47
Connecticut College,34
Dartmouth College,35
Fairfield University,15
Harvard University,46
Maine Maritime Academy,35
Massachusetts Institute of Technology,30
Massachusetts Maritime Academy,32
McGill University,31
Middlebury College,38
Northeastern University,32
Olin College of Engineering,11
Roger Williams University,40
Sacred Heart University,5
Salve Regina University,24
Tufts University,216
U. S. Coast Guard Academy,63
University of Connecticut,17
University of Maine,0
University of Massachusetts at Amherst,35
University of Massachusetts at Dartmouth,13
University of New Hampshire,49
University of Rhode Island,52
University of Vermont,35
Wentworth Institute of Technology,8
Wesleyan University,8
Williams College,21
Worcester Polytechnic Institute,12
Yale University,35
Oregon State University,16
Portland State University,9
University of British Columbia,14
University of Oregon,15
University of Victoria,24
University of Washington,47
Western Washington University,38
Arizona State University,24
Cal Poly University S.L.O.,60
California Maritime Academy,30
California State University Channel Islands,15
San Diego State University,20
Santa Clara University,2
Stanford University,21
University of California at Berkeley,34
University of California at Davis,30
University of California at Irvine,11
University of California at Los Angeles,43
University of California at San Diego,56
University of California at Santa Barbara,31
University of California at Santa Cruz,38
University of Hawaii,28
University of Southern California,14
Auburn University,10
Clemson University,48
College of Charleston,70
College of Coastal Georgia,7
Davidson College,0
Duke University,24
East Carolina University,3
Eckerd College,14
Embry-Riddle University,47
Florida Gulf Coast University,6
Florida Institute of Technology,16
Florida State University,16
Furman University,0
Georgia Institute of Technology,19
Georgia Southern University,0
Jacksonville University,38
New College of Florida,2
North Carolina State University,28
Palm Beach Atlantic University,10
Rollins College,22
Sewanee University of the South,5
The Citadel,26
University of Central Florida,15
University of Florida,12
University of Georgia,20
University of Miami,28
University of North Carolina,22
University of North Carolina at Wilmington,42
University of South Carolina,19
University of South Florida,37
University of Tennessee,14
Vanderbilt University,14
Wake Forest University,28
Baylor University,17
Loyola University New Orleans,11
Rice University,6
Texas A&M University,17
Texas A&M University at Corpus Christi,12
Texas A&M University at Galveston,24
Texas Christian University,6
Tulane University,34
University of Central Oklahoma,13
University of Kansas,14
University of North Texas,10
University of Oklahoma,6
University of South Alabama,0
University of Texas,16
