school_name,roster_size
ICSA Selectors,0
American University,65
Catholic University of America,0
Christopher Newport University,54
Colgate University,42
Columbia University,79
Cornell University,127
Drexel University,58
Fordham University,60
George Washington University,93
Georgetown University,107
Hamilton College,58
Hampton University,50
Hobart and William Smith Colleges,83
Indiana University of Pennsylvania,2
Loyola University Maryland,42
Mercyhurst University,0
Monmouth University,26
Ocean County College,75
Old Dominion University,78
Penn State Behrend,0
Penn State University,97
Princeton University,101
Queen's University,122
Rochester Institute of Technology,65
Rutgers University,65
St. John's College,79
St. Mary's College of Maryland,110
Stevens Institute of Technology,46
SUNY Maritime College,135
SUNY Stony Brook,43
Syracuse University,96
U. S. Merchant Marine Academy,141
U. S. Military Academy,79
U. S. Naval Academy,253
University of Buffalo,43
University of Delaware,73
University of Maryland,81
University of Maryland/Baltimore County,44
University of Pennsylvania,77
University of Pittsburgh,0
University of Rochester,78
University of Toronto,26
University of Virginia,103
Virginia Tech,63
Washington College,56
Webb Institute,69
William and Mary,109
Case Western Reserve University,0
Cleveland State University,0
Denison University,59
Grand Valley State University,11
Hillsdale College,0
Hope College,54
Indiana University,22
Iowa State University,0
John Carroll University,9
Lake Forest College,9
Marquette University,77
Miami University,133
Michigan State University,67
Michigan Technological University,48
Northern Michigan University,36
Northwestern University,148
Ohio State University,75
Ohio University,38
Purdue University,81
Saginaw Valley State University,0
Saint Mary's College,0
University of Chicago,28
University of Cincinnati,0
University of Illinois,39
University of Iowa,41
University of Michigan,179
University of Minnesota,59
University of Nebraska Lincoln,0
University of Notre Dame,150
University of Saint Thomas,12
University of Toledo,31
University of Wisconsin,135
Washington University,35
Western Michigan University,38
Amherst College,76
Bates College,70
Bentley University,48
Boston College,92
Boston University,104
Bowdoin College,83
Brown University,85
Connecticut College,89
Dartmouth College,99
Fairfield University,19
Harvard University,118
Maine Maritime Academy,90
Massachusetts Institute of Technology,129
Massachusetts Maritime Academy,150
McGill University,88
Middlebury College,76
Northeastern University,94
Olin College of Engineering,0
Roger Williams University,106
Sacred Heart University,28
Salve Regina University,76
Tufts University,166
U. S. Coast Guard Academy,153
University of Connecticut,136
University of Maine,0
University of Massachusetts at Amherst,0
University of Massachusetts at Dartmouth,27
University of New Hampshire,170
University of Rhode Island,149
University of Vermont,118
Wentworth Institute of Technology,0
Wesleyan University,80
Williams College,53
Worcester Polytechnic Institute,21
Yale University,87
Oregon State University,22
Portland State University,42
University of British Columbia,66
University of Oregon,72
University of Victoria,62
University of Washington,61
Western Washington University,131
Arizona State University,39
Cal Poly University S.L.O.,68
California Maritime Academy,85
California State University Channel Islands,34
San Diego State University,0
Santa Clara University,49
Stanford University,83
University of California at Berkeley,99
University of California at Davis,67
University of California at Irvine,42
University of California at Los Angeles,93
University of California at San Diego,114
University of California at Santa Barbara,99
University of California at Santa Cruz,30
University of Hawaii,61
University of Southern California,48
Auburn University,65
Clemson University,83
College of Charleston,119
College of Coastal Georgia,0
Davidson College,38
Duke University,46
East Carolina University,1
Eckerd College,115
Embry-Riddle University,36
Florida Gulf Coast University,66
Florida Institute of Technology,1
Florida State University,29
Furman University,0
Georgia Institute of Technology,67
Georgia Southern University,0
Jacksonville University,62
New College of Florida,64
North Carolina State University,67
Palm Beach Atlantic University,0
Rollins College,54
Sewanee University of the South,0
The Citadel,31
University of Central Florida,0
University of Florida,116
University of Georgia,42
University of Miami,82
University of North Carolina,48
University of North Carolina at Wilmington,53
University of South Carolina,2
University of South Florida,128
University of Tennessee,43
Vanderbilt University,60
Wake Forest University,0
Baylor University,40
Loyola University New Orleans,39
Rice University,39
Texas A&M University,70
Texas A&M University at Corpus Christi,6
Texas A&M University at Galveston,107
Texas Christian University,0
Tulane University,85
University of Central Oklahoma,31
University of Kansas,20
University of North Texas,57
University of Oklahoma,60
University of South Alabama,37
University of Texas,76
