school_name,roster_size
ICSA Selectors,0
American University,0
Catholic University of America,0
Christopher Newport University,16
Colgate University,
Columbia University,0
Cornell University,0
Drexel University,0
Fordham University,0
George Washington University,16
Georgetown University,24
Hamilton College,0
Hampton University,0
Hobart and William Smith Colleges,25
Indiana University of Pennsylvania,0
Loyola University Maryland,0
Mercyhurst University,0
Monmouth University,0
Ocean County College,0
Old Dominion University,16
Penn State Behrend,0
Penn State University,0
Princeton University,0
Queen's University,0
Rochester Institute of Technology,0
Rutgers University,0
St. John's College,0
St. Mary's College of Maryland,18
Stevens Institute of Technology,0
SUNY Maritime College,7
SUNY Stony Brook,8
Syracuse University,0
U. S. Merchant Marine Academy,30
U. S. Military Academy,0
U. S. Naval Academy,22
University of Buffalo,0
University of Delaware,3
University of Maryland,4
University of Maryland/Baltimore County,0
University of Pennsylvania,0
University of Pittsburgh,0
University of Rochester,0
University of Toronto,
University of Virginia,0
Virginia Tech,0
Washington College,4
Webb Institute,0
William and Mary,6
Case Western Reserve University,0
Cleveland State University,0
Denison University,
Grand Valley State University,0
Hillsdale College,0
Hope College,1
Indiana University,1
Iowa State University,0
John Carroll University,0
Lake Forest College,0
Marquette University,6
Miami University,0
Michigan State University,0
Michigan Technological University,0
Northern Michigan University,0
Northwestern University,0
Ohio State University,3
Ohio University,0
Purdue University,0
Saginaw Valley State University,0
Saint Mary's College,0
University of Chicago,0
University of Cincinnati,0
University of Illinois,0
University of Iowa,0
University of Michigan,0
University of Minnesota,6
University of Nebraska Lincoln,0
University of Notre Dame,5
University of Saint Thomas,0
University of Toledo,0
University of Wisconsin,3
Washington University,0
Western Michigan University,0
Amherst College,0
Bates College,0
Bentley University,0
Boston College,22
Boston University,0
Bowdoin College,9
Brown University,17
Connecticut College,25
Dartmouth College,22
Fairfield University,1
Harvard University,0
Maine Maritime Academy,2
Massachusetts Institute of Technology,0
Massachusetts Maritime Academy,0
McGill University,0
Middlebury College,17
Northeastern University,0
Olin College of Engineering,0
Roger Williams University,20
Sacred Heart University,0
Salve Regina University,16
Tufts University,45
U. S. Coast Guard Academy,51
University of Connecticut,7
University of Maine,0
University of Massachusetts at Amherst,9
University of Massachusetts at Dartmouth,1
University of New Hampshire,0
University of Rhode Island,47
University of Vermont,0
Wentworth Institute of Technology,0
Wesleyan University,0
Williams College,0
Worcester Polytechnic Institute,0
Yale University,1
Oregon State University,4
Portland State University,0
University of British Columbia,0
University of Oregon,9
University of Victoria,0
University of Washington,10
Western Washington University,0
Arizona State University,0
Cal Poly University S.L.O.,0
California Maritime Academy,0
California State University Channel Islands,0
San Diego State University,0
Santa Clara University,0
Stanford University,19
University of California at Berkeley,0
University of California at Davis,0
University of California at Irvine,0
University of California at Los Angeles,0
University of California at San Diego,13
University of California at Santa Barbara,13
University of California at Santa Cruz,0
University of Hawaii,14
University of Southern California,0
Auburn University,0
Clemson University,9
College of Charleston,29
College of Coastal Georgia,0
Davidson College,0
Duke University,0
East Carolina University,0
Eckerd College,0
Embry-Riddle University,10
Florida Gulf Coast University,10
Florida Institute of Technology,7
Florida State University,4
Furman University,0
Georgia Institute of Technology,2
Georgia Southern University,0
Jacksonville University,35
New College of Florida,0
North Carolina State University,18
Palm Beach Atlantic University,3
Rollins College,7
Sewanee University of the South,0
The Citadel,9
University of Central Florida,0
University of Florida,0
University of Georgia,2
University of Miami,9
University of North Carolina,4
University of North Carolina at Wilmington,1
University of South Carolina,0
University of South Florida,12
University of Tennessee,0
Vanderbilt University,0
Wake Forest University,0
Baylor University,0
Loyola University New Orleans,10
Rice University,0
Texas A&M University,0
Texas A&M University at Corpus Christi,0
Texas A&M University at Galveston,8
Texas Christian University,0
Tulane University,22
University of Central Oklahoma,0
University of Kansas,0
University of North Texas,0
University of Oklahoma,
University of South Alabama,0
University of Texas,13
