school_name,roster_size
ICSA Selectors,0
American University,27
Catholic University of America,1
Christopher Newport University,20
Colgate University,12
Columbia University,31
Cornell University,32
Drexel University,32
Fordham University,31
George Washington University,44
Georgetown University,51
Hamilton College,13
Hampton University,21
Hobart and William Smith Colleges,37
Indiana University of Pennsylvania,3
Loyola University Maryland,24
Mercyhurst University,0
Monmouth University,22
Ocean County College,20
Old Dominion University,28
Penn State Behrend,6
Penn State University,44
Princeton University,42
Queen's University,57
Rochester Institute of Technology,45
Rutgers University,37
St. John's College,21
St. Mary's College of Maryland,38
Stevens Institute of Technology,27
SUNY Maritime College,79
SUNY Stony Brook,46
Syracuse University,49
U. S. Merchant Marine Academy,32
U. S. Military Academy,31
U. S. Naval Academy,195
University of Buffalo,22
University of Delaware,40
University of Maryland,40
University of Maryland/Baltimore County,19
University of Pennsylvania,35
University of Pittsburgh,17
University of Rochester,29
University of Toronto,15
University of Virginia,56
Virginia Tech,35
Washington College,16
Webb Institute,34
William and Mary,61
Case Western Reserve University,0
Cleveland State University,0
Denison University,17
Grand Valley State University,21
Hillsdale College,5
Hope College,37
Indiana University,27
Iowa State University,12
John Carroll University,0
Lake Forest College,14
Marquette University,84
Miami University,44
Michigan State University,47
Michigan Technological University,20
Northern Michigan University,17
Northwestern University,74
Ohio State University,63
Ohio University,21
Purdue University,25
Saginaw Valley State University,0
Saint Mary's College,0
University of Chicago,29
University of Cincinnati,0
University of Illinois,31
University of Iowa,29
University of Michigan,68
University of Minnesota,31
University of Nebraska Lincoln,0
University of Notre Dame,72
University of Saint Thomas,0
University of Toledo,19
University of Wisconsin,85
Washington University,26
Western Michigan University,31
Amherst College,18
Bates College,40
Bentley University,24
Boston College,41
Boston University,51
Bowdoin College,34
Brown University,42
Connecticut College,39
Dartmouth College,31
Fairfield University,39
Harvard University,43
Maine Maritime Academy,31
Massachusetts Institute of Technology,48
Massachusetts Maritime Academy,68
McGill University,43
Middlebury College,33
Northeastern University,56
Olin College of Engineering,0
Roger Williams University,50
Sacred Heart University,23
Salve Regina University,31
Tufts University,74
U. S. Coast Guard Academy,78
University of Connecticut,66
University of Maine,0
University of Massachusetts at Amherst,27
University of Massachusetts at Dartmouth,15
University of New Hampshire,53
University of Rhode Island,61
University of Vermont,47
Wentworth Institute of Technology,14
Wesleyan University,30
Williams College,26
Worcester Polytechnic Institute,17
Yale University,28
Oregon State University,13
Portland State University,5
University of British Columbia,50
University of Oregon,19
University of Victoria,32
University of Washington,30
Western Washington University,42
Arizona State University,19
Cal Poly University S.L.O.,66
California Maritime Academy,34
California State University Channel Islands,13
San Diego State University,8
Santa Clara University,31
Stanford University,35
University of California at Berkeley,58
University of California at Davis,35
University of California at Irvine,30
University of California at Los Angeles,67
University of California at San Diego,75
University of California at Santa Barbara,56
University of California at Santa Cruz,24
University of Hawaii,40
University of Southern California,23
Auburn University,24
Clemson University,50
College of Charleston,74
College of Coastal Georgia,0
Davidson College,38
Duke University,32
East Carolina University,2
Eckerd College,36
Embry-Riddle University,13
Florida Gulf Coast University,10
Florida Institute of Technology,0
Florida State University,27
Furman University,0
Georgia Institute of Technology,32
Georgia Southern University,0
Jacksonville University,26
New College of Florida,24
North Carolina State University,39
Palm Beach Atlantic University,0
Rollins College,17
Sewanee University of the South,0
The Citadel,12
University of Central Florida,0
University of Florida,44
University of Georgia,31
University of Miami,35
University of North Carolina,9
University of North Carolina at Wilmington,20
University of South Carolina,40
University of South Florida,62
University of Tennessee,16
Vanderbilt University,15
Wake Forest University,4
Baylor University,0
Loyola University New Orleans,16
Rice University,23
Texas A&M University,35
Texas A&M University at Corpus Christi,16
Texas A&M University at Galveston,67
Texas Christian University,0
Tulane University,46
University of Central Oklahoma,14
University of Kansas,4
University of North Texas,14
University of Oklahoma,0
University of South Alabama,2
University of Texas,51
