school_name,roster_size
ICSA Selectors,0
American University,15
Catholic University of America,5
Christopher Newport University,20
Colgate University,10
Columbia University,31
Cornell University,39
Drexel University,31
Fordham University,25
George Washington University,32
Georgetown University,45
Hamilton College,1
Hampton University,21
Hobart and William Smith Colleges,25
Indiana University of Pennsylvania,0
Loyola University Maryland,9
Mercyhurst University,0
Monmouth University,12
Ocean County College,26
Old Dominion University,36
Penn State Behrend,0
Penn State University,39
Princeton University,46
Queen's University,53
Rochester Institute of Technology,26
Rutgers University,24
St. John's College,21
St. Mary's College of Maryland,41
Stevens Institute of Technology,21
SUNY Maritime College,48
SUNY Stony Brook,35
Syracuse University,74
U. S. Merchant Marine Academy,83
U. S. Military Academy,22
U. S. Naval Academy,105
University of Buffalo,21
University of Delaware,30
University of Maryland,40
University of Maryland/Baltimore County,20
University of Pennsylvania,37
University of Pittsburgh,7
University of Rochester,28
University of Toronto,13
University of Virginia,52
Virginia Tech,23
Washington College,16
Webb Institute,28
William and Mary,55
Case Western Reserve University,0
Cleveland State University,0
Denison University,24
Grand Valley State University,13
Hillsdale College,0
Hope College,26
Indiana University,9
Iowa State University,5
John Carroll University,0
Lake Forest College,6
Marquette University,46
Miami University,58
Michigan State University,35
Michigan Technological University,11
Northern Michigan University,13
Northwestern University,64
Ohio State University,38
Ohio University,18
Purdue University,28
Saginaw Valley State University,0
Saint Mary's College,0
University of Chicago,22
University of Cincinnati,0
University of Illinois,16
University of Iowa,27
University of Michigan,85
University of Minnesota,28
University of Nebraska Lincoln,0
University of Notre Dame,95
University of Saint Thomas,0
University of Toledo,15
University of Wisconsin,65
Washington University,32
Western Michigan University,24
Amherst College,34
Bates College,33
Bentley University,15
Boston College,41
Boston University,49
Bowdoin College,28
Brown University,43
Connecticut College,29
Dartmouth College,41
Fairfield University,16
Harvard University,47
Maine Maritime Academy,25
Massachusetts Institute of Technology,62
Massachusetts Maritime Academy,45
McGill University,40
Middlebury College,41
Northeastern University,54
Olin College of Engineering,0
Roger Williams University,47
Sacred Heart University,17
Salve Regina University,21
Tufts University,63
U. S. Coast Guard Academy,65
University of Connecticut,54
University of Maine,0
University of Massachusetts at Amherst,0
University of Massachusetts at Dartmouth,21
University of New Hampshire,51
University of Rhode Island,71
University of Vermont,53
Wentworth Institute of Technology,8
Wesleyan University,39
Williams College,25
Worcester Polytechnic Institute,13
Yale University,30
Oregon State University,14
Portland State University,10
University of British Columbia,41
University of Oregon,34
University of Victoria,30
University of Washington,23
Western Washington University,56
Arizona State University,15
Cal Poly University S.L.O.,54
California Maritime Academy,36
California State University Channel Islands,16
San Diego State University,0
Santa Clara University,33
Stanford University,37
University of California at Berkeley,49
University of California at Davis,39
University of California at Irvine,30
University of California at Los Angeles,59
University of California at San Diego,59
University of California at Santa Barbara,64
University of California at Santa Cruz,13
University of Hawaii,34
University of Southern California,29
Auburn University,34
Clemson University,45
College of Charleston,67
College of Coastal Georgia,0
Davidson College,15
Duke University,15
East Carolina University,6
Eckerd College,37
Embry-Riddle University,9
Florida Gulf Coast University,22
Florida Institute of Technology,1
Florida State University,14
Furman University,0
Georgia Institute of Technology,31
Georgia Southern University,0
Jacksonville University,40
New College of Florida,39
North Carolina State University,38
Palm Beach Atlantic University,0
Rollins College,16
Sewanee University of the South,0
The Citadel,15
University of Central Florida,0
University of Florida,42
University of Georgia,27
University of Miami,30
University of North Carolina,24
University of North Carolina at Wilmington,16
University of South Carolina,15
University of South Florida,55
University of Tennessee,19
Vanderbilt University,21
Wake Forest University,0
Baylor University,11
Loyola University New Orleans,20
Rice University,18
Texas A&M University,42
Texas A&M University at Corpus Christi,4
Texas A&M University at Galveston,40
Texas Christian University,0
Tulane University,38
University of Central Oklahoma,14
University of Kansas,7
University of North Texas,14
University of Oklahoma,21
University of South Alabama,7
University of Texas,34
