school_name,roster_size
ICSA Selectors,4
American University,3
Catholic University of America,6
Christopher Newport University,17
Colgate University,
Columbia University,6
Cornell University,28
Drexel University,15
Fordham University,25
George Washington University,25
Georgetown University,44
Hamilton College,11
Hampton University,5
Hobart and William Smith Colleges,28
Indiana University of Pennsylvania,7
Loyola University Maryland,10
Mercyhurst University,0
Monmouth University,7
Ocean County College,0
Old Dominion University,20
Penn State Behrend,9
Penn State University,8
Princeton University,27
Queen's University,1
Rochester Institute of Technology,22
Rutgers University,6
St. John's College,12
St. Mary's College of Maryland,28
Stevens Institute of Technology,7
SUNY Maritime College,25
SUNY Stony Brook,21
Syracuse University,23
U. S. Merchant Marine Academy,32
U. S. Military Academy,22
U. S. Naval Academy,40
University of Buffalo,0
University of Delaware,23
University of Maryland,14
University of Maryland/Baltimore County,3
University of Pennsylvania,25
University of Pittsburgh,8
University of Rochester,4
University of Toronto,
University of Virginia,29
Virginia Tech,16
Washington College,11
Webb Institute,18
William and Mary,17
Case Western Reserve University,0
Cleveland State University,3
Denison University,
Grand Valley State University,7
Hillsdale College,4
Hope College,10
Indiana University,19
Iowa State University,0
John Carroll University,0
Lake Forest College,8
Marquette University,24
Miami University,26
Michigan State University,21
Michigan Technological University,6
Northern Michigan University,5
Northwestern University,14
Ohio State University,8
Ohio University,2
Purdue University,21
Saginaw Valley State University,7
Saint Mary's College,7
University of Chicago,1
University of Cincinnati,10
University of Illinois,11
University of Iowa,0
University of Michigan,37
University of Minnesota,5
University of Nebraska Lincoln,0
University of Notre Dame,12
University of Saint Thomas,6
University of Toledo,2
University of Wisconsin,42
Washington University,10
Western Michigan University,15
Amherst College,8
Bates College,29
Bentley University,12
Boston College,31
Boston University,31
Bowdoin College,37
Brown University,45
Connecticut College,32
Dartmouth College,38
Fairfield University,11
Harvard University,35
Maine Maritime Academy,35
Massachusetts Institute of Technology,28
Massachusetts Maritime Academy,29
McGill University,32
Middlebury College,23
Northeastern University,29
Olin College of Engineering,9
Roger Williams University,40
Sacred Heart University,5
Salve Regina University,22
Tufts University,55
U. S. Coast Guard Academy,52
University of Connecticut,9
University of Maine,0
University of Massachusetts at Amherst,29
University of Massachusetts at Dartmouth,13
University of New Hampshire,44
University of Rhode Island,51
University of Vermont,30
Wentworth Institute of Technology,8
Wesleyan University,8
Williams College,21
Worcester Polytechnic Institute,11
Yale University,35
Oregon State University,13
Portland State University,9
University of British Columbia,12
University of Oregon,10
University of Victoria,20
University of Washington,38
Western Washington University,36
Arizona State University,19
Cal Poly University S.L.O.,48
California Maritime Academy,27
California State University Channel Islands,12
San Diego State University,15
Santa Clara University,2
Stanford University,20
University of California at Berkeley,33
University of California at Davis,27
University of California at Irvine,7
University of California at Los Angeles,39
University of California at San Diego,52
University of California at Santa Barbara,26
University of California at Santa Cruz,33
University of Hawaii,27
University of Southern California,14
Auburn University,8
Clemson University,36
College of Charleston,66
College of Coastal Georgia,6
Davidson College,0
Duke University,22
East Carolina University,0
Eckerd College,8
Embry-Riddle University,39
Florida Gulf Coast University,6
Florida Institute of Technology,15
Florida State University,9
Furman University,0
Georgia Institute of Technology,17
Georgia Southern University,0
Jacksonville University,31
New College of Florida,2
North Carolina State University,27
Palm Beach Atlantic University,8
Rollins College,22
Sewanee University of the South,0
The Citadel,22
University of Central Florida,14
University of Florida,0
University of Georgia,15
University of Miami,27
University of North Carolina,16
University of North Carolina at Wilmington,38
University of South Carolina,9
University of South Florida,32
University of Tennessee,12
Vanderbilt University,13
Wake Forest University,26
Baylor University,17
Loyola University New Orleans,6
Rice University,0
Texas A&M University,12
Texas A&M University at Corpus Christi,10
Texas A&M University at Galveston,18
Texas Christian University,6
Tulane University,33
University of Central Oklahoma,13
University of Kansas,14
University of North Texas,6
University of Oklahoma,
University of South Alabama,0
University of Texas,15
