school_name,roster_size
ICSA Selectors,0
American University,21
Catholic University of America,15
Christopher Newport University,31
Colgate University,0
Columbia University,46
Cornell University,28
Drexel University,34
Fordham University,39
George Washington University,39
Georgetown University,59
Hamilton College,29
Hampton University,16
Hobart and William Smith Colleges,43
Indiana University of Pennsylvania,7
Loyola University Maryland,16
Mercyhurst University,6
Monmouth University,10
Ocean County College,9
Old Dominion University,19
Penn State Behrend,10
Penn State University,29
Princeton University,54
Queen's University,50
Rochester Institute of Technology,27
Rutgers University,36
St. John's College,7
St. Mary's College of Maryland,26
Stevens Institute of Technology,26
SUNY Maritime College,68
SUNY Stony Brook,26
Syracuse University,34
U. S. Merchant Marine Academy,50
U. S. Military Academy,36
U. S. Naval Academy,155
University of Buffalo,8
University of Delaware,42
University of Maryland,36
University of Maryland/Baltimore County,19
University of Pennsylvania,29
University of Pittsburgh,25
University of Rochester,10
University of Toronto,0
University of Virginia,39
Virginia Tech,39
Washington College,15
Webb Institute,41
William and Mary,51
Case Western Reserve University,0
Cleveland State University,0
Denison University,
Grand Valley State University,11
Hillsdale College,16
Hope College,17
Indiana University,13
Iowa State University,17
John Carroll University,11
Lake Forest College,6
Marquette University,58
Miami University,43
Michigan State University,26
Michigan Technological University,13
Northern Michigan University,6
Northwestern University,77
Ohio State University,62
Ohio University,26
Purdue University,44
Saginaw Valley State University,0
Saint Mary's College,4
University of Chicago,22
University of Cincinnati,0
University of Illinois,32
University of Iowa,21
University of Michigan,69
University of Minnesota,32
University of Nebraska Lincoln,16
University of Notre Dame,47
University of Saint Thomas,0
University of Toledo,26
University of Wisconsin,68
Washington University,1
Western Michigan University,29
Amherst College,26
Bates College,34
Bentley University,19
Boston College,30
Boston University,35
Bowdoin College,35
Brown University,41
Connecticut College,33
Dartmouth College,29
Fairfield University,30
Harvard University,54
Maine Maritime Academy,29
Massachusetts Institute of Technology,53
Massachusetts Maritime Academy,37
McGill University,31
Middlebury College,43
Northeastern University,45
Olin College of Engineering,5
Roger Williams University,40
Sacred Heart University,16
Salve Regina University,31
Tufts University,81
U. S. Coast Guard Academy,57
University of Connecticut,27
University of Maine,11
University of Massachusetts at Amherst,72
University of Massachusetts at Dartmouth,9
University of New Hampshire,49
University of Rhode Island,57
University of Vermont,43
Wentworth Institute of Technology,16
Wesleyan University,22
Williams College,16
Worcester Polytechnic Institute,10
Yale University,32
Oregon State University,14
Portland State University,0
University of British Columbia,54
University of Oregon,11
University of Victoria,35
University of Washington,25
Western Washington University,43
Arizona State University,21
Cal Poly University S.L.O.,87
California Maritime Academy,27
California State University Channel Islands,12
San Diego State University,19
Santa Clara University,24
Stanford University,29
University of California at Berkeley,47
University of California at Davis,33
University of California at Irvine,30
University of California at Los Angeles,46
University of California at San Diego,63
University of California at Santa Barbara,41
University of California at Santa Cruz,25
University of Hawaii,31
University of Southern California,28
Auburn University,34
Clemson University,36
College of Charleston,70
College of Coastal Georgia,0
Davidson College,16
Duke University,15
East Carolina University,1
Eckerd College,35
Embry-Riddle University,12
Florida Gulf Coast University,0
Florida Institute of Technology,1
Florida State University,20
Furman University,0
Georgia Institute of Technology,39
Georgia Southern University,0
Jacksonville University,39
New College of Florida,8
North Carolina State University,51
Palm Beach Atlantic University,8
Rollins College,31
Sewanee University of the South,0
The Citadel,0
University of Central Florida,5
University of Florida,34
University of Georgia,36
University of Miami,29
University of North Carolina,11
University of North Carolina at Wilmington,17
University of South Carolina,26
University of South Florida,45
University of Tennessee,14
Vanderbilt University,23
Wake Forest University,11
Baylor University,0
Loyola University New Orleans,22
Rice University,4
Texas A&M University,41
Texas A&M University at Corpus Christi,12
Texas A&M University at Galveston,55
Texas Christian University,2
Tulane University,66
University of Central Oklahoma,7
University of Kansas,0
University of North Texas,23
University of Oklahoma,
University of South Alabama,0
University of Texas,36
