school_name,roster_size
ICSA Selectors,0
American University,21
Catholic University of America,10
Christopher Newport University,31
Colgate University,16
Columbia University,28
Cornell University,29
Drexel University,28
Fordham University,39
George Washington University,36
Georgetown University,54
Hamilton College,29
Hampton University,12
Hobart and William Smith Colleges,44
Indiana University of Pennsylvania,7
Loyola University Maryland,16
Mercyhurst University,6
Monmouth University,10
Ocean County College,9
Old Dominion University,19
Penn State Behrend,9
Penn State University,29
Princeton University,51
Queen's University,50
Rochester Institute of Technology,26
Rutgers University,35
St. John's College,7
St. Mary's College of Maryland,26
Stevens Institute of Technology,22
SUNY Maritime College,68
SUNY Stony Brook,25
Syracuse University,31
U. S. Merchant Marine Academy,46
U. S. Military Academy,35
U. S. Naval Academy,155
University of Buffalo,8
University of Delaware,36
University of Maryland,29
University of Maryland/Baltimore County,13
University of Pennsylvania,29
University of Pittsburgh,21
University of Rochester,9
University of Toronto,19
University of Virginia,37
Virginia Tech,36
Washington College,15
Webb Institute,38
William and Mary,45
Case Western Reserve University,0
Cleveland State University,0
Denison University,6
Grand Valley State University,10
Hillsdale College,14
Hope College,16
Indiana University,12
Iowa State University,15
John Carroll University,11
Lake Forest College,4
Marquette University,57
Miami University,38
Michigan State University,24
Michigan Technological University,7
Northern Michigan University,6
Northwestern University,74
Ohio State University,53
Ohio University,21
Purdue University,42
Saginaw Valley State University,0
Saint Mary's College,0
University of Chicago,15
University of Cincinnati,0
University of Illinois,29
University of Iowa,21
University of Michigan,65
University of Minnesota,32
University of Nebraska Lincoln,4
University of Notre Dame,41
University of Saint Thomas,0
University of Toledo,23
University of Wisconsin,65
Washington University,1
Western Michigan University,26
Amherst College,24
Bates College,35
Bentley University,18
Boston College,30
Boston University,32
Bowdoin College,35
Brown University,41
Connecticut College,32
Dartmouth College,29
Fairfield University,28
Harvard University,43
Maine Maritime Academy,28
Massachusetts Institute of Technology,51
Massachusetts Maritime Academy,40
McGill University,32
Middlebury College,33
Northeastern University,38
Olin College of Engineering,5
Roger Williams University,41
Sacred Heart University,14
Salve Regina University,31
Tufts University,75
U. S. Coast Guard Academy,56
University of Connecticut,23
University of Maine,7
University of Massachusetts at Amherst,60
University of Massachusetts at Dartmouth,8
University of New Hampshire,35
University of Rhode Island,54
University of Vermont,42
Wentworth Institute of Technology,15
Wesleyan University,22
Williams College,15
Worcester Polytechnic Institute,10
Yale University,32
Oregon State University,13
Portland State University,0
University of British Columbia,55
University of Oregon,10
University of Victoria,35
University of Washington,24
Western Washington University,35
Arizona State University,21
Cal Poly University S.L.O.,82
California Maritime Academy,25
California State University Channel Islands,9
San Diego State University,17
Santa Clara University,24
Stanford University,28
University of California at Berkeley,47
University of California at Davis,22
University of California at Irvine,30
University of California at Los Angeles,46
University of California at San Diego,61
University of California at Santa Barbara,39
University of California at Santa Cruz,23
University of Hawaii,29
University of Southern California,29
Auburn University,27
Clemson University,33
College of Charleston,65
College of Coastal Georgia,0
Davidson College,16
Duke University,14
East Carolina University,0
Eckerd College,35
Embry-Riddle University,6
Florida Gulf Coast University,0
Florida Institute of Technology,1
Florida State University,18
Furman University,0
Georgia Institute of Technology,30
Georgia Southern University,0
Jacksonville University,39
New College of Florida,4
North Carolina State University,45
Palm Beach Atlantic University,0
Rollins College,26
Sewanee University of the South,0
The Citadel,0
University of Central Florida,0
University of Florida,31
University of Georgia,32
University of Miami,27
University of North Carolina,11
University of North Carolina at Wilmington,15
University of South Carolina,15
University of South Florida,43
University of Tennessee,13
Vanderbilt University,21
Wake Forest University,5
Baylor University,0
Loyola University New Orleans,20
Rice University,4
Texas A&M University,37
Texas A&M University at Corpus Christi,9
Texas A&M University at Galveston,49
Texas Christian University,0
Tulane University,64
University of Central Oklahoma,6
University of Kansas,0
University of North Texas,16
University of Oklahoma,1
University of South Alabama,0
University of Texas,28
